IP Year,Investment Name,Project Details,Department,Service Area,Investment Type,Capital Cost,Percent Funded,Class Estimate,SPAP Theme,Lifecycle Activity Driver,Neighbourhood,Ward,Location,Funded,Unfunded,Funding Year,Growth Enabling or Supportive,Previously Approved Project Funding,GAHP,Rank,Disposal,Preliminary Capital Cost 10 Year,Preliminary Funded 10 Year,Preliminary Unfunded 10 Year,Preliminary Capital Cost 6 Year,Preliminary Funded 6 Year,Preliminary Unfunded 6 Year
2024,City of Winnipeg Archives - The Winnipeg 150 Legacy Project,"Renovations at 380 William Avenue will create a space that meets the programming needs of today's City of Winnipeg Archives, including the legislated and fiduciary requirements for the long-term storage and preservation of archival records. The renovations will enable the framework outlined in “A Reconciliation Framework for Canadian Archives”, allowing the City to advance reconciliation efforts through governance, operations and organizational culture changes including fair representation, professional practice and relationship building.",City Clerks,Multiple Organizational Support Services,Project,$0,100%,5,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2033,,,N,3,,,,,,,
2023,Wastewater Services Facilities Plan,text,Water and Waste,Wastewater,Project,"$20,000,000",100%,5,Environmental Resilience,Growth,,,,"20,000,000",0,2030,,,,,,,,,,,
2024,Millennium Library Parkade High Priority Repairs 2024-2027,"The Millennium Library Parkade requires capital repairs to be undertaken between 2024-2027, that if left unattended, could cause an unplanned closure of the parkade. In 2024 detailed design work will be undertaken and construction will take place between 2025-2027. The primary elements being repaired are structural work on the P1 slab to address concrete deterioration, replacing lighting system controls that are obsolete and replacing the air handler unit that is past it's useful life. The repairs are staggered over three years to allow for continued use of the parkade.",Public Works,Parking,Project,$0,100%,5,The Downtown,Renew,South Portage,Fort Rouge - East Fort Garry,POINT (-97.142058 49.891789),0,0,2029,,,N,1,,,,,,,
2023,Indoor Aquatics and Rec Centres Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$68,630,000",0%,,Leadership & Good Governance,Renew,,,,0,"11,595,000",2026,,,,,,,,,,,
2024,Fort Garry Lions Outdoor Pool Redevelopment,"The existing outdoor pool at this site is in poor condition, does not meet current accessibility standards nor provide adequate play value and amenities to serve this community or meet levels of service. The new pool will include contemporary pool features such as an accessible pool access ramp, slides, spray features, shaded seating areas, diving board(s) and a new pool change/washroom and mechanical system building.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Upgrade,Crescent Park,Fort Rouge - East Fort Garry,POINT (-97.150292 49.840102),0,0,2030,,,Y,16,,,,,,,
2024,Comprehensive Integrated Waste Management Strategy (CIWMS) - 4R Winnipeg Depot - West,This project is to build a 4th 4R Winnipeg Depot in the west part of the city.,Water and Waste,Recycling & Waste Diversion,Project,$0,0%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,Saskatchewan North,St. James,POINT (-97.30935598 49.90214501),0,"7,100,000",2025,,,N,2,,,,,,,
2024,Water Treatment Plant Asset Refurbishment and Replacement Program,The Winnipeg Drinking Water Treatment Plant provides treated drinking water to the City of Winnipeg. The continued upkeep and maintenance of the Winnipeg Drinking Water Treatment Plant's assets is required to ensure a continuous supply of water. An asset refurbishment and replacement plan has been developed to address asset lifecycle issues at the water treatment plant as they arise.,Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2033,,,N,14,,,,,,,
2024,West End Sewage Treatment Plant (WEWPCC) Facilities Plan,The West End Sewage Treatment Plant (WEWPCC) was upgraded to remove nutrients in 2008. Assets of the sewage treatment plant that were not part of the upgrade are in various stages of condition/life-span.,Water and Waste,Wastewater,Project,$0,100%,3,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,POINT (-97.33230115 49.83968464),0,0,2033,Growth-enabling infrastructure,,N,15,,,,,,,
2023,Water Main Renewals,text,Water and Waste,Water,Program,"$220,500,000",100%,,Environmental Resilience,Renew,,,,"21,250,000",0,2027,,,,,,,,,,,
2024,North Garage Replacement,"The proposed project would see the replacement of Winnipeg Transit's existing North Garage currently located at 1520 Main Street at a new location. The project includes the development of an energy efficient bus storage and light maintenance facility with increased bus capacity, designed to facilitate the transition to an electric bus fleet.",Winnipeg Transit,Public Transit,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Jefferson,Mynarski,POINT (-97.12461404 49.93030162),0,0,2032,,,N,7,,,,,,,
2023,Transit Roof Replacement and Ventilation Upgrade,text,Winnipeg Transit,Public Transit,Program,"$7,300,000",100%,,City Building,Upgrade,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"2,450,000",0,2024,,,,,,,,,,,
2024,Assiniboine Park Conservancy (APC) - Infrastructure and Sustainability,"This investment represents the City's ongoing commitment to Assiniboine Park building repairs, upgrades and park improvements.",Public Works,Parks - Regional,Commitment,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,Assiniboine Park,Charleswood - Tuxedo - Westwood,POINT (-97.23028564 49.87211724),"5,400,000",0,2025,,,N,3,,,,,,,
2024,Sewer Renewals,"This is a program to replace and/or rehabilitate combined, wastewater, and land drainage sewer infrastructure that are no longer meeting level of service objectives. A portion of the funding will be used for condition assessment of sewer assets; sewers will be replaced or rehabilitated using appropriate technologies on a risk-based level of service basis. Funds will also be utilized to update the sewer asset register, and ongoing operating costs associated with software licensing and maintenance have been included in the operating budget.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"29,500,000",0,2033,,,N,17,,,,,,,
2023,Health/Life Safety/Emergency Systems Refurbishment/City-Wide Accessibility,text,Assets and Project Management,"Dev Approval, Bldg, Permits & Insp",Program,"$1,103,849,000",1%,,Good Health & Well-Being,Renew,,,,"681,000","72,228,000",2030,,,,,,,,,,,
2024,Brady Road Resource Management Facility Alternative Energy Project,This project will implement an alternative energy program to convert landfill gas to either electricity or natural gas.,Water and Waste,Solid Waste Disposal,Project,$0,0%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2033,,,N,5,,,,,,,
2024,Land Drainage and Combined Sewers Outfall Gate Structures,"The current focus of this program is to upgrade existing gate chambers to meet minimum levels of service and install new gate chambers for flood control on both combined and separated sewer districts during high river level conditions. Under high river level (flood) conditions, the river water backs up into the land drainage and combined sewer systems.",Water and Waste,Land Drainage & Flood Control,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,0,0,2029,,,N,4,,,,,,,
2023,Wheel Chair Securements - Retro fit,text,Winnipeg Transit,Public Transit,Program,"$13,750,000",100%,,City Building,Upgrade,,,,"4,125,000",0,2026,,,,,,,,,,,
2024,Community Incentive Grant Program,Funding to re-instate the Community Incentive Grant Program as per Council's Strategic Priorities Action Plan.,Community Services,Recreation,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Growth,,,,"1,344,000",0,2032,,,N,22,,,,,,,
2024,St Vital Bridge Rehabilitation,The St. Vital Bridge (Red River) connecting Osborne Street to Dunkirk Drive will require bridge deck rehabilitation including marginal widening to better accommodate pedestrian and cycling requirements. Preliminary design was completed in 2022 and detailed design in 2023. Construction is expected to be staged over a two year period. The rehabilitated structure will provide an additional 50 years of service life.,Public Works,Bridges - Regional,Project,$0,100%,1,A City that Works for Residents through Improved Customer Service,Renew,Riverview,Fort Rouge - East Fort Garry,POINT (-97.12658634 49.85575884),0,0,2027,,,N,2,,,,,,,
2023,Riverbank Stabilization Physical Asset Protection (RSPAP) Program,text,"Planning, Property & Development",Land Drainage & Flood Control,Program,"$198,000,000",0%,,Environmental Resilience,Upgrade,,,,0,"19,800,000",2023,,,,,,,,,,,
2024,Water and Waste Department Business Intelligence,"This project will develop a solution that will improve access to data and information, provide improved analytics, dashboarding, and reporting functionality, provide timely reporting of data, and generate insights to improve evidence-based decision-making.",Innovation and Technology,Wastewater,Program,"$6,640,000",100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2024,,,N,4,,,,,,,
2024,Community Centre Capital Renewal Program,"The Community Centre Capital Maintenance & Renewal Program addresses maintenance and renewal needs for City of Winnipeg community centres focusing on community centre projects that are considered the City’s responsibility as outlined in the Universal Funding Formula. This includes building envelope retrofit, structural repairs, controls and mechanical systems, repair/replacement of sewer and water lines to buildings, electrical systems, functionality and accessibility improvements, hazardous material abatement (radon, lead, mould or asbestos), outdoor rink lighting upgrades, parking lot lighting replacements, replacement of elevators and lifts due to age, roof replacements, fire safety system improvements and parking lot renewals.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"21,043,000",2025,,,N,9,,,,,,,
2024,Brady Road Resource Management Facility - Onsite Leachate Management,The proposed pilot project will explore the potential to develop on-site leachate reuse management using land application for leachate generated at the Brady Road Resource Management Facility. Work would be done on the closed portions of the landfill.,Water and Waste,Solid Waste Disposal,Project,$0,0%,4,A Green and Growing City with Sustainable Renewal of Infrastructure,Growth,La Barriere,St. Norbert - Seine River,POINT (-97.212998 49.757805),0,0,2028,,,N,4,,,,,,,
2023,Pembina Hwy Rehabilitation at Route 165,text,Public Works,Bridges - Regional,Project,"$20,400,000",100%,5,Good Health & Well-Being,Renew,Montcalm,Waverley West,POINT (-97.15426573 49.81776013),"2,000,000",0,2024,,,,,,,,,,,
2024,Insect Control Branch Building and Yards - 3 Grey Street,"The proposed project involves the relocation of the Insect Control Building, Yards and Heliport at 3 Grey Street to city-owned lands adjacent to the South End Water Pollution Control Centre.",Public Works,Insect Control,Project,$0,0%,3,"A Livable, Safe, Healthy, Happy City",Upgrade,Tyne-Tees,Elmwood - East Kildonan,POINT (-97.09573193 49.902051),0,0,2027,,,N,1,,,,,,,
2023,St Mary's Rd widening - St Anne's to Marion,text,Public Works,Roads - Regional,Project,"$68,326,000",0%,5,Environmental Resilience,Upgrade,Norwood West,St. Boniface,POINT (-97.11774038 49.87495142),0,"6,363,000",2025,,,,,,,,,,,
2024,Relocation of Fleet head office and Tecumseh Shops,"Move the WFMA operations of head office, repair facility, and manufacturing facility from 195-215 Tecumseh/770 Ross to a new location.",Public Works,Multiple Organizational Support Services,Project,$0,0%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,West Alexander,Point Douglas,POINT (-97.1607308148397 49.9074105448269),0,0,2031,,,N,6,,,,,,,
2023,Lagimodiere Twin Overpasses Rehabilitation (Concordia & CPR Keewatin),text,Public Works,Bridges - Regional,Project,"$37,742,000",100%,5,Good Health & Well-Being,Renew,Eaglemere,Elmwood - East Kildonan,POINT (-97.05505486 49.91319913),0,0,2025,,,,,,,,,,,
2024,Parks and Recreation Enhancement Program,"Program is focused on playground restorations, including play equipment and safety surface replacements, along with associated amenity and pathway improvements to enhance accessibility, and other park and recreation enhancements.",Public Works,Parks - Local,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"1,275,000",0,2033,,,Y,1,,,,,,,
2024,East of the Red RecPlex,"The proposed project involves the development of a 90,000-square-foot regional recreation and leisure facility, including a leisure pool, eight-lane swim tank, indoor track, fitness areas, gymnasium, and multi-purpose rooms, all attached to the new Transcona Library.",Community Services,Recreation,Project,$0,17%,5,"A Livable, Safe, Healthy, Happy City",Growth,Regent,Transcona,POINT (-97.026639 49.901639),0,0,2033,Growth-supportive infrastructure,,N,3,,,,,,,
2024,Environmental Standards Laboratory Facility Plan,"Environmental Standards Division operates a Canadian Association for Laboratory Accreditation (CALA) accredited laboratory for testing, monitoring, and compliance reporting on behalf of the Water and Waste Department. To ensure the laboratory can continue to stay up-to-date with CALA accreditation standards, meet future regulatory monitoring and reporting requirements, and accommodate the increasing demands of the laboratory's internal clients, a new facility plan is required. The plan will also investigate options to bring additional testing in-house with further accreditation requirements.",Water and Waste,Wastewater,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,West Kildonan Industrial,Old Kildonan,POINT (-97.11006429 49.95251634),0,0,2033,,,N,8,,,,,,,
2023,Parks and Recreation Enhancement Program,text,Public Works,Parks - Local,Program,"$12,407,000",100%,,Good Health & Well-Being,Renew,,,,"300,000",0,2024,,,,,,,,,,,
2024,Indoor Aquatics and Rec Centres Capital Renewal Program,"The indoor aquatic and recreation centre capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 12 indoor aquatic and recreation centres owned and operated by the City of Winnipeg. Projects may include building envelope and structural improvements, improvements to mechanical and electrical systems including heating, ventilation and lighting, accessibility projects, and other interior improvements.",Assets and Project Management,Recreation,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"21,889,000",2031,,,N,13,,,,,,,
2024,Osborne Street Underpass AT Improvements,"This project will examine cost effective functional design alternatives for an active transportation grade separation in the vicinity of the Osborne Street Underpass in order to address a gap in the Active Transportation Network to cross the CN mainline. Functional design will also be undertaken to review rehabilitation of the existing underpass to address deficiencies in land drainage, vertical clearance and pavement condition.",Public Works,Roads - Regional,Project,$0,6%,5,A City that Works for Residents through Improved Customer Service,Upgrade,River-Osborne,Fort Rouge - East Fort Garry,POINT (-97.14092029 49.87328292),0,0,2033,,,Y,6,,,,,,,
2023,Shoal Lake Aqueduct Intake Facility Rehabilitation,text,Water and Waste,Water,Program,"$9,350,000",100%,,Environmental Resilience,Upgrade,,,,"1,200,000",0,2024,,,,,,,,,,,
2024,WWD Document Management System,"The collaboration and document platform provides the ability to upload, store, and retrieve documents in a concise, practical manner using a standard practice for all divisions within the department. This will increase both internal and external stakeholders accessibility to departmental documents. A document management system will also automate the review and approval processes within Water and Waste Department resulting in faster turn-around time.",Innovation and Technology,Wastewater,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"850,000",0,2030,,,N,6,,,,,,,
2023,Communication Sites - P25 Sub Gear/Infrastructure,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$25,530,000",24%,3,City Building,Renew,,,,0,"1,542,000",2032,,,,,,,,,,,
2024,In Car Computing,"The mobile computing technology in Winnipeg Police Service (WPS) vehicles must be evergreened every five years due to the obsolescence of this equipment and the harsh environment to which they are subjected. Currently 235 vehicles require mobile computing devices plus a small contingency for spare devices. This includes the evergreening of laptops/tablets and keyboards, docks, modems, antennae, mounting equipment and associated cabling necessary to maintain connectivity with WPS public safety systems. Ergonomically placed computing devices in vehicles are critical for prevention of injuries to police officers.",Winnipeg Police Service,Police Services,Project,$0,100%,4,Corporate Management and Support,Upgrade,,,,0,0,2027,,,N,1,,,,,,,
2024,Sewer Renewals,"This is a program to replace and/or rehabilitate combined, wastewater, and land drainage sewer infrastructure that are no longer meeting level of service objectives. A portion of the funding will be used for condition assessment of sewer assets; sewers will be replaced or rehabilitated using appropriate technologies on a risk-based level of service basis. Funds will also be utilized to update the sewer asset register, and ongoing operating costs associated with software licensing and maintenance have been included in the operating budget.",Water and Waste,Wastewater,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"28,500,000",0,2032,,,N,17,,,,,,,
2023,In Car Computing,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$7,207,000",100%,4,Leadership & Good Governance,Upgrade,,,,0,0,2029,,,,,,,,,,,
2024,Enterprise Resource Planning (ERP) Peoplesoft Renewal Program,"Human Resources, Finance and most or all City employees use PeopleSoft HR and Financials ERP modules that are at end of life. Short term support for the modules is provided by a third-party company.  The City needs additional functions, features and applications that are not available in the current PeopleSoft ERP modules. Many are also not available in the latest PeopleSoft updated versions and developing them will require customizations that are cost-prohibitive.",Innovation and Technology,Multiple Organizational Support Services,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Upgrade,,,,0,0,2033,,,N,2,,,,,,,
2023,Arlington Bridge Rehabilitation,text,Public Works,Bridges - Regional,Project,"$63,850,000",100%,5,City Building,Renew,Dufferin Industrial,Mynarski,POINT (-97.16028104 49.91439515),0,0,2028,,,,,,,,,,,
2023,Combined Sewer Overflow and Basement Flood Management Strategy: District Sewer Separation,text,Water and Waste,Wastewater,Program,"$368,500,000",100%,,Environmental Resilience,Upgrade,,,,"46,500,000",0,2026,,,,,,,,,,,
2024,Training Centre (formerly McPhilips Academy),Expansion of academy to provide additional space to deliver required level of services,Fire Paramedic Service,Fire & Rescue Response,Project,"$54,388,000",0%,5,"A Livable, Safe, Healthy, Happy City",Renew,Leila North,Old Kildonan,POINT (-97.14325453 49.96114652),0,0,2024,,,N,6,,,,,,,
2023,Vacuum Truck Decanting Facility,text,Water and Waste,Wastewater,Project,"$6,250,000",100%,3,Environmental Resilience,Growth,,,,"4,750,000",0,2029,,,,,,,,,,,
2023,Pedestrian and Cycling Program,text,Public Works,Active Transportation,Program,"$203,950,000",12%,,Good Health & Well-Being,Upgrade,,,,"2,321,000","17,119,000",2026,,,,,,,,,,,
2023,West Kildonan Library Renewal,text,Community Services,Libraries,Project,"$7,500,000",0%,5,Good Health & Well-Being,Renew,Jefferson,Mynarski,POINT (-97.12778437 49.93670205),0,"7,500,000",2023,,,,,,,,,,,
2024,Primary Transit Network Infrastructure,"This program will support the Winnipeg Transit Master Plan complete redesign of the transit network city-wide. In the proposed new transit network, several new routes will require dedicated bus loops, stations, mobility hubs, comfort stations for bus operators, and new traffic signals where buses/ riders will be turning onto or crossing major arterial streets. This project also includes public engagement, communications, and marketing to ensure Winnipeg Transit customers and the broader public are aware and can provide input on the proposed changes and their impacts. This project also funds installation and removal of bus stop signs and other similar elements required to transition the city-wide transit network.",Winnipeg Transit,Public Transit,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2032,,,N,4,,,,,,,
2024,Transit Building Replacement and Renewal,"This multi-year capital program addresses the need for both larger and smaller scale projects within Transit's existing facilities, stops and stations. These projects are mainly required due to the age and condition of the assets.",Winnipeg Transit,Public Transit,Program,"$11,564,000",100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,Lord Roberts,Fort Rouge - East Fort Garry,POINT (-97.14271355 49.86553834),"1,536,000",0,2024,,,N,6,,,,,,,
2023,Outdoor Pools Capital Renewal Program,text,Assets and Project Management,Recreation,Program,"$7,340,000",0%,,Economic Prosperity,Renew,,,,0,"1,240,000",2026,,,,,,,,,,,
2023,Digital Evidence Management System,text,Winnipeg Police Service,Police Service/Crime Prevention,Project,"$6,260,000",0%,4,City Building,Renew,,,,0,"3,160,000",2028,,,,,,,,,,,
2023,Harbourview Complex (Kilcona Park Renewal),text,Public Works,Parks - Regional,Project,"$7,604,000",0%,5,City Building,Renew,Kil-Cona Park,North Kildonan,POINT (-97.01402533 49.93231751),0,"2,047,000",2025,,,,,,,,,,,
2024,Parkland Acquisition,This program will establish funding for the strategic acquisition of private lands with high ecological or recreational value for the purpose of establishing new parklands.,Public Works,Parks - Regional,Program,$0,0%,,"A Livable, Safe, Healthy, Happy City",Growth,,,,0,"2,000,000",2032,,,Y,1,,,,,,,
2024,Electric Vehicles and Infrastructure,This annual program would fund replacement of approximately 16 vehicles with electric vehicles and supporting infrastructure.,Public Works,Multiple Organizational Support Services,Program,$0,0%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,"2,000,000",2028,,,N,4,,,,,,,
2023,Community Centre Renovation Grant Program (CCRGP),text,Community Services,Recreation,Commitment,"$10,685,000",100%,,Good Health & Well-Being,Renew,,,,"965,000",0,2029,,,,,,,,,,,
2024,Arenas Capital Renewal Program,"The arena capital maintenance and renewal program supports capital maintenance repairs, refurbishment, and improvements to 14 indoor arenas owned and operated by the City of Winnipeg or by partners via legal agreements*. Projects may include ice plant component replacements, interior improvements, heating, ventilation and electrical improvements, replacement of rink components, building envelope and structural improvements.",Assets and Project Management,Recreation,Program,"$210,742,000",0%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,0,"15,155,000",2024,,,N,17,,,,,,,
2023,Regional Parks,text,Public Works,Parks - Regional,Program,"$21,555,000",100%,,Good Health & Well-Being,Operations & Maintenance,,,,"3,000,000",0,2031,,,,,,,,,,,
2024,Water Main Renewals,"This is a continuing program to replace and/or rehabilitate deteriorating water main infrastructure. Funding is used for water main replacement, cathodic protection, valve and hydrant replacement/rehabilitation, correction of dead end mains, upgrading of substandard mains, water system studies, assessments, development of design standards and replacement of problem water services within the City right-of-way, and hydraulic improvements for fire protection purposes. Funding is also used for integrated right-of-way renewal programs coordinated with the Public Works Department.",Water and Waste,Water,Program,$0,100%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,,,,"28,000,000",0,2031,,,N,12,,,,,,,
2024,"Recreational Facility Safety, Security & Accessibility Improvements Program","This capital program addresses workplace and public safety, health, and accessibility issues. Recreation and aquatic facility amenities must be refurbished to meet public health and safety standards, regulations, and to enhance facilities to meet the needs of the public.",Community Services,Recreation,Program,$0,100%,,"A Livable, Safe, Healthy, Happy City",Upgrade,,,,"956,000",0,2029,,,N,23,,,,,,,
2024,Soil Fabrication for Landfill Cover,"This is a program for all-season fabrication of soil to supplement city topsoil requirements. The soil fabrication process uses city residuals, such as biosolids, street sweepings from winter road operations (sand and grit), and woodchips to fabricate topsoil. This is then spread and seeded with native prairie species at the City landfills. Operations include ongoing environmental and vegetative monitoring.",Water and Waste,Solid Waste Disposal,Program,$0,50%,,A Green and Growing City with Sustainable Renewal of Infrastructure,Upgrade,,,,0,0,2030,,,N,3,,,,,,,
2024,St Mary's Rd widening - St Anne's to Marion,The proposed project involves reconstruction of St Mary's Road from St Anne's Road to Marion Street with a six lane divided roadway. The project includes considerable property acquisition.,Public Works,Roads - Regional,Project,$0,0%,5,A City that Works for Residents through Improved Customer Service,Upgrade,Norwood West,St. Boniface,POINT (-97.11774038 49.87495142),0,0,2032,,,N,5,,,,,,,
2023,Transition to Zero Emission Buses,text,Winnipeg Transit,Public Transit,Program,"$629,575,000",93%,,Environmental Resilience,Renew,,,,"23,042,000",0,2027,,,,,,,,,,,
2023,Edward Schreyer Parkway - Plessis to Chief Peguis Trail,text,Public Works,Roads - Regional,Project,"$101,443,000",0%,5,Economic Prosperity,Growth,Grassie,Transcona,POINT (-97.02524274 49.920656),0,"1,380,000",2025,Growth-supportive infrastructure,,,,,,,,,,
2023,Customer Service & Admin Building,text,Winnipeg Transit,Public Transit,Project,"$15,900,000",0%,5,City Building,Growth,Riverview,Fort Rouge - East Fort Garry,POINT (-97.13736684 49.86980955),0,"15,900,000",2025,,,,,,,,,,,
2024,Communities Fund,"Funding in each year will be divided equally between each of the fifteen wards. Program details, policy, eligibility, reporting requirements, etc. of this new program will be communicated later or through the budget recommendations.",Council,Multiple Organizational Support Services,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,0,0,2032,,,N,7,,,,,,,
2024,Environmental Standards Laboratory Facility Plan,"Environmental Standards Division operates a Canadian Association for Laboratory Accreditation (CALA) accredited laboratory for testing, monitoring, and compliance reporting on behalf of the Water and Waste Department. To ensure the laboratory can continue to stay up-to-date with CALA accreditation standards, meet future regulatory monitoring and reporting requirements, and accommodate the increasing demands of the laboratory's internal clients, a new facility plan is required. The plan will also investigate options to bring additional testing in-house with further accreditation requirements.",Water and Waste,Wastewater,Project,$0,100%,5,A Green and Growing City with Sustainable Renewal of Infrastructure,Renew,West Kildonan Industrial,Old Kildonan,POINT (-97.11006429 49.95251634),0,0,2028,,,N,8,,,,,,,
2023,Parks and Recreation Enhancement Program,text,Public Works,Parks - Local,Program,"$12,407,000",100%,,Good Health & Well-Being,Renew,,,,"1,241,000",0,2029,,,,,,,,,,,
2024,New Southeast Winnipeg Regional Recreation & Aquatic Centre,"Capital investment is required for a new regional indoor aquatic and recreation centre to serve southeast Winnipeg. The facility will include multi-purpose program space, leisure pool and lap pool to service current demands and future growth in southeast Winnipeg.",Community Services,Recreation,Project,$0,0%,5,"A Livable, Safe, Healthy, Happy City",Growth,Sage Creek,St. Vital,POINT (-97.04721476 49.82717292),0,0,2030,Growth-supportive infrastructure,,N,6,,,,,,,
2024,Parks Buildings,"This program will fund Parks Maintenance Garage at Reykdal Family Park, Grant's Old Mill Restoration and Public Washrooms Renewal, Prairie Point Garage, Living Prairie Museum Interpretive Centre and various demolition of park buildings and structures as necessary.",Public Works,Parks - Local,Program,$0,30%,,"A Livable, Safe, Healthy, Happy City",Renew,,,,"375,000","2,273,000",2025,,,Y,3,,,,,,,
2024,Laboratory Information Management System,This program provides ongoing improvements and reduction of manual effort in the Laboratory Information Management System.,Innovation and Technology,Water,Program,$0,100%,,A City that Works for Residents through Improved Customer Service,Renew,,,,"800,000",0,2026,,,N,3,,,,,,,
