MeetingType,MeetingDate,Resolution,Voter,Vote,Result
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0811, the following be adopted:
That Council:

Adopt the proposed 2025-2026 Council Chamber seating plan, as set out in Attachment 2, effective the first Regular Meeting of Council following the 2025 Organizational Meeting of Council, until the conclusion of the 2026 Organizational Meeting of Council; and
Direct the City Clerk to engage with Councillors on accessibility and ergonomic needs and bring recommendations for changes to the Council Chamber seating plan to the 2025 December 4 Regular Meeting of Council, if necessary.",Andre Chabot,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0806, the following Motion Arising be adopted:
That Council approve the request for Councillor Chabot to file nomination papers to seek the position of President of Alberta Municipalities, in order to meet the conditions set out section 6.02 of the Alberta Municipalities Bylaw No. 1.",John Pantazopoulos,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0811, the following be adopted:
That Council:

Adopt the proposed 2025-2026 Council Chamber seating plan, as set out in Attachment 2, effective the first Regular Meeting of Council following the 2025 Organizational Meeting of Council, until the conclusion of the 2026 Organizational Meeting of Council; and
Direct the City Clerk to engage with Councillors on accessibility and ergonomic needs and bring recommendations for changes to the Council Chamber seating plan to the 2025 December 4 Regular Meeting of Council, if necessary.",Nathaniel Schmidt,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",Myke Atkinson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0811, the following be adopted:
That Council:

Adopt the proposed 2025-2026 Council Chamber seating plan, as set out in Attachment 2, effective the first Regular Meeting of Council following the 2025 Organizational Meeting of Council, until the conclusion of the 2026 Organizational Meeting of Council; and
Direct the City Clerk to engage with Councillors on accessibility and ergonomic needs and bring recommendations for changes to the Council Chamber seating plan to the 2025 December 4 Regular Meeting of Council, if necessary.",John Pantazopoulos,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0913, the following be adopted, after amendment:
That Council:

Confirm and approve Administration member nominations as set out in Attachment 2 and Council member nominations, for appointment to the boards of directors of The Citys wholly-owned subsidiaries as follows, for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated below:

Calgary Arts Development Authority
Councillor Tyers
Calgary Economic Development Ltd.
Mayor Farkas, and Councillor Pantazopoulos, will also serve on the Board of Directors for Opportunity Calgary Investment Fund Ltd
Calgary Housing 
Councillor Atkinson  for a three-year term
Councillor Clark  for a three-year term
Councillor Schmidt  for a three-year term
Attainable Homes Calgary Corporation
Mayor Farkas
Councillor Atkinson
 ;Calgary Municipal Land Corporation
Mayor Farkas 
Councillor Kelly
Councillor Ward
 ;2. Authorize the Mayor, or in the Mayors absence, the Deputy Mayor, to execute a resolution on behalf of the shareholder of The Citys wholly-owned subsidiaries appointing the Council and Administration nominees for the terms specified to each subsidiaries respective board of directors; and ;
3. Direct that any Closed Meeting discussions remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy), 22 (Confidential evaluations), and 28 (Local public body confidences) of the Access to Information Act.  ;",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0811, the following be adopted:
That Council:

Adopt the proposed 2025-2026 Council Chamber seating plan, as set out in Attachment 2, effective the first Regular Meeting of Council following the 2025 Organizational Meeting of Council, until the conclusion of the 2026 Organizational Meeting of Council; and
Direct the City Clerk to engage with Councillors on accessibility and ergonomic needs and bring recommendations for changes to the Council Chamber seating plan to the 2025 December 4 Regular Meeting of Council, if necessary.",Dan McLean,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0812, the following be adopted:
That Council agrees to cover all reasonable costs, incurred in accordance with the Councillors Budgets and Expenses Bylaw 36M2021, of attendance at meetings of the Federation of Canadian Municipalities National Board of Directors for its Member of Council Representative to the Board of Directors; such costs are to be charged to Corporate Costs.",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",Dan McLean,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:



 Councillor Wyness, Councillor Tyers, Councillor Yule, and Councillor McLean ;to the Pro-tem Membership Committee, to recommend seven Councillors for appointment to each Standing Policy Committee; and",Nathaniel Schmidt,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0811, the following be adopted:
That Council:

Adopt the proposed 2025-2026 Council Chamber seating plan, as set out in Attachment 2, effective the first Regular Meeting of Council following the 2025 Organizational Meeting of Council, until the conclusion of the 2026 Organizational Meeting of Council; and
Direct the City Clerk to engage with Councillors on accessibility and ergonomic needs and bring recommendations for changes to the Council Chamber seating plan to the 2025 December 4 Regular Meeting of Council, if necessary.",Mayor J. Farkas,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0913, the following be adopted, after amendment:
That Council:

Confirm and approve Administration member nominations as set out in Attachment 2 and Council member nominations, for appointment to the boards of directors of The Citys wholly-owned subsidiaries as follows, for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated below:

Calgary Arts Development Authority
Councillor Tyers
Calgary Economic Development Ltd.
Mayor Farkas, and Councillor Pantazopoulos, will also serve on the Board of Directors for Opportunity Calgary Investment Fund Ltd
Calgary Housing 
Councillor Atkinson  for a three-year term
Councillor Clark  for a three-year term
Councillor Schmidt  for a three-year term
Attainable Homes Calgary Corporation
Mayor Farkas
Councillor Atkinson
 ;Calgary Municipal Land Corporation
Mayor Farkas 
Councillor Kelly
Councillor Ward
 ;2. Authorize the Mayor, or in the Mayors absence, the Deputy Mayor, to execute a resolution on behalf of the shareholder of The Citys wholly-owned subsidiaries appointing the Council and Administration nominees for the terms specified to each subsidiaries respective board of directors; and ;
3. Direct that any Closed Meeting discussions remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy), 22 (Confidential evaluations), and 28 (Local public body confidences) of the Access to Information Act.  ;",Jennifer Wyness,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0807, the following be adopted:
That Council:

Appoint Administration Members to Council Committees and Boards, Commissions and Committees as set out in Attachment 1;
Appoint Administration members to Civic Partners as set out in Attachment 2; and
Confirm the appointments and nominations of Administration Members to Council Committees and Boards, Commissions and Committees who have continuing terms or who are appointed by virtue of their position at The City, as set out in Attachment 3.",Andre Chabot,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0811, the following be adopted:
That Council:

Adopt the proposed 2025-2026 Council Chamber seating plan, as set out in Attachment 2, effective the first Regular Meeting of Council following the 2025 Organizational Meeting of Council, until the conclusion of the 2026 Organizational Meeting of Council; and
Direct the City Clerk to engage with Councillors on accessibility and ergonomic needs and bring recommendations for changes to the Council Chamber seating plan to the 2025 December 4 Regular Meeting of Council, if necessary.",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0812, the following be adopted:
That Council agrees to cover all reasonable costs, incurred in accordance with the Councillors Budgets and Expenses Bylaw 36M2021, of attendance at meetings of the Federation of Canadian Municipalities National Board of Directors for its Member of Council Representative to the Board of Directors; such costs are to be charged to Corporate Costs.",Mayor J. Farkas,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0913, the following be adopted, after amendment:
That Council:

Confirm and approve Administration member nominations as set out in Attachment 2 and Council member nominations, for appointment to the boards of directors of The Citys wholly-owned subsidiaries as follows, for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated below:

Calgary Arts Development Authority
Councillor Tyers
Calgary Economic Development Ltd.
Mayor Farkas, and Councillor Pantazopoulos, will also serve on the Board of Directors for Opportunity Calgary Investment Fund Ltd
Calgary Housing 
Councillor Atkinson  for a three-year term
Councillor Clark  for a three-year term
Councillor Schmidt  for a three-year term
Attainable Homes Calgary Corporation
Mayor Farkas
Councillor Atkinson
 ;Calgary Municipal Land Corporation
Mayor Farkas 
Councillor Kelly
Councillor Ward
 ;2. Authorize the Mayor, or in the Mayors absence, the Deputy Mayor, to execute a resolution on behalf of the shareholder of The Citys wholly-owned subsidiaries appointing the Council and Administration nominees for the terms specified to each subsidiaries respective board of directors; and ;
3. Direct that any Closed Meeting discussions remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy), 22 (Confidential evaluations), and 28 (Local public body confidences) of the Access to Information Act.  ;",Mike Jamieson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0807, the following be adopted:
That Council:

Appoint Administration Members to Council Committees and Boards, Commissions and Committees as set out in Attachment 1;
Appoint Administration members to Civic Partners as set out in Attachment 2; and
Confirm the appointments and nominations of Administration Members to Council Committees and Boards, Commissions and Committees who have continuing terms or who are appointed by virtue of their position at The City, as set out in Attachment 3.",Andrew Yule,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0807, the following be adopted:
That Council:

Appoint Administration Members to Council Committees and Boards, Commissions and Committees as set out in Attachment 1;
Appoint Administration members to Civic Partners as set out in Attachment 2; and
Confirm the appointments and nominations of Administration Members to Council Committees and Boards, Commissions and Committees who have continuing terms or who are appointed by virtue of their position at The City, as set out in Attachment 3.",Mike Jamieson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0811, the following be adopted:
That Council:

Adopt the proposed 2025-2026 Council Chamber seating plan, as set out in Attachment 2, effective the first Regular Meeting of Council following the 2025 Organizational Meeting of Council, until the conclusion of the 2026 Organizational Meeting of Council; and
Direct the City Clerk to engage with Councillors on accessibility and ergonomic needs and bring recommendations for changes to the Council Chamber seating plan to the 2025 December 4 Regular Meeting of Council, if necessary.",Landon Johnston,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:



 Councillor Wyness, Councillor Tyers, Councillor Yule, and Councillor McLean ;to the Pro-tem Membership Committee, to recommend seven Councillors for appointment to each Standing Policy Committee; and",DJ Kelly,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:



 Councillor Wyness, Councillor Tyers, Councillor Yule, and Councillor McLean ;to the Pro-tem Membership Committee, to recommend seven Councillors for appointment to each Standing Policy Committee; and",Rajdeep Dhaliwal,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",John Pantazopoulos,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:



 Councillor Wyness, Councillor Tyers, Councillor Yule, and Councillor McLean ;to the Pro-tem Membership Committee, to recommend seven Councillors for appointment to each Standing Policy Committee; and",Rob Ward,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:

b. Councillor McLean as Chair of the Pro-tem Membership Committee;",Harrison Clark,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0812, the following be adopted:
That Council agrees to cover all reasonable costs, incurred in accordance with the Councillors Budgets and Expenses Bylaw 36M2021, of attendance at meetings of the Federation of Canadian Municipalities National Board of Directors for its Member of Council Representative to the Board of Directors; such costs are to be charged to Corporate Costs.",Kim Tyers,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0812, the following be adopted:
That Council agrees to cover all reasonable costs, incurred in accordance with the Councillors Budgets and Expenses Bylaw 36M2021, of attendance at meetings of the Federation of Canadian Municipalities National Board of Directors for its Member of Council Representative to the Board of Directors; such costs are to be charged to Corporate Costs.",DJ Kelly,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0807, the following be adopted:
That Council:

Appoint Administration Members to Council Committees and Boards, Commissions and Committees as set out in Attachment 1;
Appoint Administration members to Civic Partners as set out in Attachment 2; and
Confirm the appointments and nominations of Administration Members to Council Committees and Boards, Commissions and Committees who have continuing terms or who are appointed by virtue of their position at The City, as set out in Attachment 3.",John Pantazopoulos,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0812, the following be adopted:
That Council agrees to cover all reasonable costs, incurred in accordance with the Councillors Budgets and Expenses Bylaw 36M2021, of attendance at meetings of the Federation of Canadian Municipalities National Board of Directors for its Member of Council Representative to the Board of Directors; such costs are to be charged to Corporate Costs.",Harrison Clark,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:



 Councillor Wyness, Councillor Tyers, Councillor Yule, and Councillor McLean ;to the Pro-tem Membership Committee, to recommend seven Councillors for appointment to each Standing Policy Committee; and",Dan McLean,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0812, the following be adopted:
That Council agrees to cover all reasonable costs, incurred in accordance with the Councillors Budgets and Expenses Bylaw 36M2021, of attendance at meetings of the Federation of Canadian Municipalities National Board of Directors for its Member of Council Representative to the Board of Directors; such costs are to be charged to Corporate Costs.",John Pantazopoulos,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0807, the following be adopted:
That Council:

Appoint Administration Members to Council Committees and Boards, Commissions and Committees as set out in Attachment 1;
Appoint Administration members to Civic Partners as set out in Attachment 2; and
Confirm the appointments and nominations of Administration Members to Council Committees and Boards, Commissions and Committees who have continuing terms or who are appointed by virtue of their position at The City, as set out in Attachment 3.",Harrison Clark,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0812, the following be adopted:
That Council agrees to cover all reasonable costs, incurred in accordance with the Councillors Budgets and Expenses Bylaw 36M2021, of attendance at meetings of the Federation of Canadian Municipalities National Board of Directors for its Member of Council Representative to the Board of Directors; such costs are to be charged to Corporate Costs.",Myke Atkinson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0807, the following be adopted:
That Council:

Appoint Administration Members to Council Committees and Boards, Commissions and Committees as set out in Attachment 1;
Appoint Administration members to Civic Partners as set out in Attachment 2; and
Confirm the appointments and nominations of Administration Members to Council Committees and Boards, Commissions and Committees who have continuing terms or who are appointed by virtue of their position at The City, as set out in Attachment 3.",Nathaniel Schmidt,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0809, the following be adopted, after amendment:
That Council:

Appoint:



 Councillor Wyness, Councillor Tyers, Councillor Yule, and Councillor McLean ;to the Pro-tem Membership Committee, to recommend seven Councillors for appointment to each Standing Policy Committee; and",Myke Atkinson,Yes,MOTION CARRIED
Organizational Meeting of Council,2025-10-29,"That with respect to Report C2025-0913, the following be adopted, after amendment:
That Council:

Confirm and approve Administration member nominations as set out in Attachment 2 and Council member nominations, for appointment to the boards of directors of The Citys wholly-owned subsidiaries as follows, for terms to expire at the 2026 Organizational Meeting of Council, unless otherwise indicated below:

Calgary Arts Development Authority
Councillor Tyers
Calgary Economic Development Ltd.
Mayor Farkas, and Councillor Pantazopoulos, will also serve on the Board of Directors for Opportunity Calgary Investment Fund Ltd
Calgary Housing 
Councillor Atkinson  for a three-year term
Councillor Clark  for a three-year term
Councillor Schmidt  for a three-year term
Attainable Homes Calgary Corporation
Mayor Farkas
Councillor Atkinson
 ;Calgary Municipal Land Corporation
Mayor Farkas 
Councillor Kelly
Councillor Ward
 ;2. Authorize the Mayor, or in the Mayors absence, the Deputy Mayor, to execute a resolution on behalf of the shareholder of The Citys wholly-owned subsidiaries appointing the Council and Administration nominees for the terms specified to each subsidiaries respective board of directors; and ;
3. Direct that any Closed Meeting discussions remain confidential pursuant to Sections 20 (Disclosure harmful to personal privacy), 22 (Confidential evaluations), and 28 (Local public body confidences) of the Access to Information Act.  ;",Myke Atkinson,Yes,MOTION CARRIED
